"DEPARTURES_PERFORMED","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","QUARTER",
2.00,"SFO","San Francisco, CA","DEN","Denver, CO",1,
2.00,"DEN","Denver, CO","SNA","Santa Ana, CA",1,
2.00,"SNA","Santa Ana, CA","DEN","Denver, CO",1,
2.00,"SFO","San Francisco, CA","DFW","Dallas/Fort Worth, TX",1,
2.00,"BUR","Burbank, CA","OAK","Oakland, CA",2,
2.00,"IND","Indianapolis, IN","OAK","Oakland, CA",2,
2.00,"ONT","Ontario, CA","BFI","Seattle, WA",2,
2.00,"ANC","Anchorage, AK","OAK","Oakland, CA",2,
2.00,"SFO","San Francisco, CA","CLE","Cleveland, OH",2,
2.00,"SFO","San Francisco, CA","SAN","San Diego, CA",2,
2.00,"SFO","San Francisco, CA","LAX","Los Angeles, CA",1,
2.00,"SFO","San Francisco, CA","RNO","Reno, NV",1,
2.00,"SAN","San Diego, CA","STL","St. Louis, MO",1,
2.00,"LAX","Los Angeles, CA","AFW","Dallas/Fort Worth, TX",2,
2.00,"ONT","Ontario, CA","PHX","Phoenix, AZ",3,
2.00,"LIH","Lihue, HI","LAX","Los Angeles, CA",2,
2.00,"ATL","Atlanta, GA","SAN","San Diego, CA",2,
2.00,"TOL","Toledo, OH","SJC","San Jose, CA",1,
2.00,"LAX","Los Angeles, CA","LAS","Las Vegas, NV",2,
2.00,"LAX","Los Angeles, CA","PHX","Phoenix, AZ",2,
2.00,"LAX","Los Angeles, CA","PHX","Phoenix, AZ",2,
2.00,"SNA","Santa Ana, CA","PHX","Phoenix, AZ",3,
2.00,"IFP","Bullhead City, AZ","FAT","Fresno, CA",1,
2.00,"DEN","Denver, CO","OAK","Oakland, CA",2,
2.00,"SFO","San Francisco, CA","SEA","Seattle, WA",1,
2.00,"LAX","Los Angeles, CA","PHX","Phoenix, AZ",2,
2.00,"PHX","Phoenix, AZ","SFO","San Francisco, CA",1,
2.00,"SEA","Seattle, WA","SFO","San Francisco, CA",1,
2.00,"LAX","Los Angeles, CA","DEN","Denver, CO",1,
2.00,"LAX","Los Angeles, CA","DEN","Denver, CO",1,
2.00,"LAX","Los Angeles, CA","DEN","Denver, CO",1,
2.00,"PDX","Portland, OR","SJC","San Jose, CA",2,
2.00,"LAX","Los Angeles, CA","RNO","Reno, NV",1,
2.00,"OAK","Oakland, CA","BOI","Boise, ID",1,
2.00,"LAX","Los Angeles, CA","MEM","Memphis, TN",2,
2.00,"LAX","Los Angeles, CA","MEM","Memphis, TN",2,
2.00,"FAT","Fresno, CA","OAK","Oakland, CA",1,
2.00,"BFI","Seattle, WA","SJC","San Jose, CA",2,
2.00,"BFI","Seattle, WA","SJC","San Jose, CA",2,
2.00,"RNO","Reno, NV","SJC","San Jose, CA",1,
2.00,"CEC","Crescent City, CA","SMF","Sacramento, CA",1,
2.00,"OAK","Oakland, CA","SAN","San Diego, CA",1,
2.00,"SMF","Sacramento, CA","PDX","Portland, OR",1,
2.00,"SAN","San Diego, CA","LBB","Lubbock, TX",2,
2.00,"HOU","Houston, TX","LAX","Los Angeles, CA",2,
2.00,"LGB","Long Beach, CA","MIA","Miami, FL",2,
2.00,"PDX","Portland, OR","SNA","Santa Ana, CA",1,
2.00,"SJC","San Jose, CA","GEG","Spokane, WA",1,
2.00,"LAX","Los Angeles, CA","LSV","Las Vegas, NV",1,
2.00,"BUR","Burbank, CA","LAS","Las Vegas, NV",2,
2.00,"SDF","Louisville, KY","ONT","Ontario, CA",1,
2.00,"FLL","Fort Lauderdale, FL","LGB","Long Beach, CA",2,
2.00,"LAX","Los Angeles, CA","PHX","Phoenix, AZ",3,
2.00,"PHX","Phoenix, AZ","LAX","Los Angeles, CA",3,
2.00,"CEC","Crescent City, CA","SMF","Sacramento, CA",3,
2.00,"LAX","Los Angeles, CA","MEM","Memphis, TN",3,
2.00,"MEM","Memphis, TN","SJC","San Jose, CA",3,
2.00,"OAK","Oakland, CA","PDX","Portland, OR",3,
2.00,"OAK","Oakland, CA","SEA","Seattle, WA",3,
2.00,"OAK","Oakland, CA","SNS","Salinas/Monterey, CA",3,
2.00,"SFO","San Francisco, CA","HNL","Honolulu, HI",3,
2.00,"SFO","San Francisco, CA","LAX","Los Angeles, CA",3,
2.00,"SFO","San Francisco, CA","MSP","Minneapolis, MN",3,
2.00,"SFO","San Francisco, CA","SJC","San Jose, CA",3,
2.00,"CLT","Charlotte, NC","LAX","Los Angeles, CA",3,
2.00,"LAX","Los Angeles, CA","LAX","Los Angeles, CA",4,
2.00,"SLN","Salina, KS","CNO","Chino, CA",4,
2.00,"YIP","Detroit, MI","CNO","Chino, CA",4,
2.00,"DEN","Denver, CO","PSP","Palm Springs, CA",4,
2.00,"DEN","Denver, CO","SMF","Sacramento, CA",4,
2.00,"PSP","Palm Springs, CA","DEN","Denver, CO",4,
2.00,"SMF","Sacramento, CA","DEN","Denver, CO",4,
2.00,"LAX","Los Angeles, CA","LAS","Las Vegas, NV",4,
2.00,"SAN","San Diego, CA","EWR","Newark, NJ",4,
2.00,"SFO","San Francisco, CA","EWR","Newark, NJ",4,
2.00,"SFO","San Francisco, CA","EWR","Newark, NJ",4,
2.00,"SFO","San Francisco, CA","HNL","Honolulu, HI",4,
2.00,"SFO","San Francisco, CA","IAH","Houston, TX",4,
2.00,"SFO","San Francisco, CA","JFK","New York, NY",1,
2.00,"ATL","Atlanta, GA","LAX","Los Angeles, CA",2,
2.00,"SBA","Santa Barbara, CA","DEN","Denver, CO",2,
2.00,"BUR","Burbank, CA","TEB","Teterboro, NJ",1,
2.00,"BUR","Burbank, CA","LAS","Las Vegas, NV",2,
2.00,"ONT","Ontario, CA","SLC","Salt Lake City, UT",1,
2.00,"SFO","San Francisco, CA","SLC","Salt Lake City, UT",1,
2.00,"SEA","Seattle, WA","BUR","Burbank, CA",2,
2.00,"HNL","Honolulu, HI","ONT","Ontario, CA",2,
2.00,"LAS","Las Vegas, NV","LAX","Los Angeles, CA",2,
2.00,"OAK","Oakland, CA","SEA","Seattle, WA",1,
2.00,"HNL","Honolulu, HI","ONT","Ontario, CA",2,
2.00,"SLC","Salt Lake City, UT","LAX","Los Angeles, CA",1,
2.00,"ATL","Atlanta, GA","SJC","San Jose, CA",1,
2.00,"MRY","Monterey, CA","BUR","Burbank, CA",1,
2.00,"MCI","Kansas City, MO","OAK","Oakland, CA",1,
2.00,"ONT","Ontario, CA","SDF","Louisville, KY",1,
2.00,"BIF","El Paso, TX","VCV","Victorville, CA",1,
2.00,"LIH","Lihue, HI","LAX","Los Angeles, CA",2,
2.00,"SFO","San Francisco, CA","SLC","Salt Lake City, UT",1,
2.00,"OAK","Oakland, CA","MEM","Memphis, TN",2,
2.00,"DEN","Denver, CO","SAN","San Diego, CA",2,
2.00,"SNA","Santa Ana, CA","PHX","Phoenix, AZ",1,
2.00,"RNO","Reno, NV","LAX","Los Angeles, CA",1,
2.00,"IND","Indianapolis, IN","ONT","Ontario, CA",1,
2.00,"OAK","Oakland, CA","EKA","Eureka, CA",1,
2.00,"IND","Indianapolis, IN","LAX","Los Angeles, CA",1,
2.00,"LAS","Las Vegas, NV","LAX","Los Angeles, CA",1,
2.00,"SFO","San Francisco, CA","TUS","Tucson, AZ",2,
2.00,"MSP","Minneapolis, MN","SFO","San Francisco, CA",1,
2.00,"LAS","Las Vegas, NV","OAK","Oakland, CA",1,
2.00,"LAX","Los Angeles, CA","DEN","Denver, CO",1,
2.00,"SFO","San Francisco, CA","IAH","Houston, TX",2,
2.00,"PHX","Phoenix, AZ","SNA","Santa Ana, CA",2,
2.00,"SFO","San Francisco, CA","DEN","Denver, CO",1,
2.00,"SFO","San Francisco, CA","DEN","Denver, CO",1,
2.00,"PSP","Palm Springs, CA","MSP","Minneapolis, MN",2,
2.00,"HNL","Honolulu, HI","LAX","Los Angeles, CA",1,
2.00,"LAX","Los Angeles, CA","HNL","Honolulu, HI",1,
2.00,"OAK","Oakland, CA","RNO","Reno, NV",2,
2.00,"BUR","Burbank, CA","OAK","Oakland, CA",1,
2.00,"BUR","Burbank, CA","OAK","Oakland, CA",1,
2.00,"DFW","Dallas/Fort Worth, TX","SFO","San Francisco, CA",1,
2.00,"SFO","San Francisco, CA","DFW","Dallas/Fort Worth, TX",2,
2.00,"DEN","Denver, CO","SJC","San Jose, CA",2,
2.00,"JFK","New York, NY","SNA","Santa Ana, CA",1,
2.00,"LAX","Los Angeles, CA","OAK","Oakland, CA",2,
2.00,"BUR","Burbank, CA","TEB","Teterboro, NJ",2,
2.00,"ONT","Ontario, CA","LAX","Los Angeles, CA",2,
2.00,"SMF","Sacramento, CA","MEM","Memphis, TN",3,
2.00,"DFW","Dallas/Fort Worth, TX","SAN","San Diego, CA",3,
2.00,"SAN","San Diego, CA","AUS","Austin, TX",3,
2.00,"SAN","San Diego, CA","SFO","San Francisco, CA",3,
2.00,"SAN","San Diego, CA","SMF","Sacramento, CA",3,
2.00,"SAT","San Antonio, TX","LAX","Los Angeles, CA",3,
2.00,"SAT","San Antonio, TX","SAN","San Diego, CA",3,
2.00,"SFO","San Francisco, CA","DEN","Denver, CO",3,
2.00,"SFO","San Francisco, CA","MDW","Chicago, IL",3,
2.00,"HNL","Honolulu, HI","LAX","Los Angeles, CA",3,
2.00,"IAH","Houston, TX","ONT","Ontario, CA",3,
2.00,"LAX","Los Angeles, CA","HNL","Honolulu, HI",3,
2.00,"ONT","Ontario, CA","IAH","Houston, TX",3,
2.00,"ORD","Chicago, IL","SFO","San Francisco, CA",3,
2.00,"SFO","San Francisco, CA","DEN","Denver, CO",3,
2.00,"SDF","Louisville, KY","ONT","Ontario, CA",3,
2.00,"LAX","Los Angeles, CA","CVG","Cincinnati, OH",4,
2.00,"LAX","Los Angeles, CA","MCO","Orlando, FL",4,
2.00,"LAX","Los Angeles, CA","OGG","Kahului, HI",4,
2.00,"LAX","Los Angeles, CA","RDU","Raleigh/Durham, NC",4,
2.00,"MSP","Minneapolis, MN","SMF","Sacramento, CA",4,
2.00,"OGG","Kahului, HI","LAX","Los Angeles, CA",4,
